position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,stamp,gripper_state
-0.501167,-0.394458,1.136104,-0.725387,0.078115,-0.085977,0.678469,918361475.000000,0.145000
-0.501334,-0.394475,1.135163,-0.725550,0.078542,-0.085427,0.678314,925021894.000000,0.145000
-0.501370,-0.394463,1.134948,-0.725577,0.078663,-0.085230,0.678297,926752855.000000,0.145000
-0.501507,-0.394416,1.134121,-0.725678,0.079130,-0.084478,0.678229,933390988.000000,0.145000
-0.501529,-0.394465,1.133921,-0.725672,0.079343,-0.084361,0.678224,935058405.000000,0.145000
-0.501619,-0.394663,1.133105,-0.725648,0.080212,-0.083884,0.678207,941854185.000000,0.145000
-0.501641,-0.394712,1.132913,-0.725701,0.080342,-0.083847,0.678140,943405439.000000,0.145000
-0.501733,-0.394913,1.132115,-0.725917,0.080881,-0.083694,0.677863,949829783.000000,0.145000
-0.501881,-0.395044,1.131109,-0.726029,0.081610,-0.083102,0.677728,958975034.000000,0.145000
-0.501897,-0.395079,1.130984,-0.726034,0.081713,-0.083061,0.677715,960047056.000000,0.145000
-0.502005,-0.395308,1.130155,-0.726067,0.082395,-0.082790,0.677631,967149970.000000,0.145000
-0.502138,-0.395445,1.129181,-0.726071,0.083047,-0.082209,0.677618,975864441.000000,0.145000
-0.502157,-0.395465,1.129067,-0.726076,0.083128,-0.082143,0.677611,976728012.000000,0.145000
-0.502296,-0.395615,1.128222,-0.726111,0.083724,-0.081656,0.677558,983119001.000000,0.145000
-0.502327,-0.395679,1.128035,-0.726084,0.083873,-0.081599,0.677576,985014011.000000,0.145000
-0.502447,-0.395916,1.127333,-0.725982,0.084431,-0.081384,0.677642,992110747.000000,0.145000
-0.502469,-0.395958,1.127202,-0.725969,0.084525,-0.081345,0.677648,993327667.000000,0.145000
-0.502588,-0.396186,1.126493,-0.725899,0.085041,-0.081130,0.677685,999950578.000000,0.145000
-0.502797,-0.396218,1.125599,-0.725493,0.085527,-0.080294,0.678158,1009196105.000000,0.145000
-0.502823,-0.396219,1.125479,-0.725485,0.085600,-0.080182,0.678170,1010061313.000000,0.145000
-0.503031,-0.396228,1.124512,-0.725424,0.086186,-0.079271,0.678269,1017074378.000000,0.145000
-0.503054,-0.396280,1.124376,-0.725397,0.086304,-0.079215,0.678289,1018401911.000000,0.145000
-0.503176,-0.396559,1.123642,-0.725256,0.086934,-0.078911,0.678394,1025517054.000000,0.145000
-0.503204,-0.396588,1.123473,-0.725243,0.087065,-0.078782,0.678407,1026752283.000000,0.145000
-0.503356,-0.396748,1.122561,-0.725172,0.087773,-0.078087,0.678472,1033415233.000000,0.145000
-0.503508,-0.396944,1.121691,-0.725108,0.088360,-0.077535,0.678527,1041847469.000000,0.145000
-0.503546,-0.396955,1.121531,-0.725089,0.088439,-0.077387,0.678554,1043373157.000000,0.145000
-0.503725,-0.397008,1.120781,-0.725000,0.088811,-0.076698,0.678679,1050522684.000000,0.145000
-0.503761,-0.396998,1.120654,-0.724985,0.088843,-0.076558,0.678706,1051706125.000000,0.145000
-0.503968,-0.396938,1.119924,-0.724901,0.089027,-0.075747,0.678863,1058522508.000000,0.145000
-0.503998,-0.396968,1.119781,-0.724903,0.089077,-0.075667,0.678863,1060021450.000000,0.145000
-0.504132,-0.397102,1.119146,-0.724914,0.089303,-0.075310,0.678862,1066726469.000000,0.145000
-0.504307,-0.397302,1.118384,-0.724972,0.089597,-0.074892,0.678807,1075541559.000000,0.145000
-0.504333,-0.397321,1.118270,-0.724968,0.089652,-0.074794,0.678815,1076710750.000000,0.145000
-0.504492,-0.397433,1.117583,-0.724943,0.089983,-0.074203,0.678863,1083758275.000000,0.145000
-0.504714,-0.397512,1.116778,-0.724952,0.090295,-0.073597,0.678878,1091841020.000000,0.145000
-0.504742,-0.397540,1.116645,-0.724945,0.090349,-0.073506,0.678888,1093336870.000000,0.145000
-0.504865,-0.397669,1.116046,-0.724914,0.090592,-0.073096,0.678933,1100064131.000000,0.145000
-0.505008,-0.397842,1.115294,-0.724883,0.091061,-0.072585,0.678958,1110030939.000000,0.145000
